ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
P23945,Follicle-stimulating hormone receptor,FSHR,182771,M65085,P23945,FSHR_HUMAN,1XUN; 1XWD; 4AY9; 4MQW,,FSHR,HGNC:3969,Human,DB00032; DB00066; DB00094; DB00097; DB04786
Q9GZT4,Serine racemase,SRR,11034785,AF169974,Q9GZT4,SRR_HUMAN,3L6B; 3L6R,,SRR,HGNC:14398,Human,DB00114; DB00133
P21917,D(4) dopamine receptor,DRD4,291946,L12398,P21917,DRD4_HUMAN,,,DRD4,HGNC:3025,Human,DB00246; DB00248; DB00268; DB00334; DB00363; DB00372; DB00408; DB00409; DB00413; DB00420; DB00477; DB00543; DB00589; DB00714; DB00734; DB00777; DB00988; DB01186; DB01200; DB01224; DB01235; DB01238; DB01267; DB01403; DB04908; DB04946; DB05271; DB05280; DB06216
P60880,Synaptosomal-associated protein 25,SNAP25,307426,L19760,P60880,SNP25_HUMAN,1KIL; 1XTG; 2N1T; 3DDA; 3DDB; 3RK2; 3RK3; 3RL0; 3ZUR,,SNAP25,HGNC:11132,Human,DB00083
P54802,Alpha-N-acetylglucosaminidase,NAGLU,1171229,U43572,P54802,ANAG_HUMAN,,,NAGLU,HGNC:7632,Human,DB00141
Q16719,Kynureninase,KYNU,1323715,U57721,Q16719,KYNU_HUMAN,2HZP; 3E9K,,KYNU,HGNC:6469,Human,DB00114; DB00160; DB07069
P41595,5-hydroxytryptamine receptor 2B,HTR2B,475198,X77307,P41595,5HT2B_HUMAN,4IB4; 4NC3,,HTR2B,HGNC:5294,Human,DB00216; DB00247; DB00248; DB00268; DB00320; DB00334; DB00370; DB00413; DB00508; DB00543; DB00574; DB00589; DB00714; DB00805; DB01079; DB01142; DB01186; DB01200; DB01239; DB01242; DB01392; DB01454; DB05461; DB05492; DB06016; DB06148; DB06216
P08246,Neutrophil elastase,ELANE,296665,Y00477,P08246,ELNE_HUMAN,1B0F; 1H1B; 1HNE; 1PPF; 1PPG; 2RG3; 2Z7F; 3Q76; 3Q77; 4NZL; 4WVP; 5A09; 5A0A; 5A0B; 5A0C; 5ABW,,ELA2,HGNC:3309,Human,DB00019; DB00058; DB00099; DB02341; DB03925; DB05161
Q8TE23,Taste receptor type 1 member 2,TAS1R2,20142333,AF458154,Q8TE23,TS1R2_HUMAN,,,TAS1R2,HGNC:14905,Human,DB00168
O15399,"Glutamate receptor ionotropic, NMDA 2D",GRIN2D,2444026,U77783,O15399,NMDE4_HUMAN,,,GRIN2D,HGNC:4588,Human,DB00142; DB00454; DB01173; DB01520; DB06151
P26440,"Isovaleryl-CoA dehydrogenase, mitochondrial",IVD,306897,M34192,P26440,IVD_HUMAN,1IVH,,IVD,HGNC:6186,Human,DB03147; DB04036
Q53I07,Envelope glycoprotein,gp41,62732120,AJ964940,Q53I07,Q53I07_9HIV1,,,,,Human immunodeficiency virus 1,DB00109
P02794,Ferritin heavy chain,FTH1,28435,X00318,P02794,FRIH_HUMAN,1FHA; 2CEI; 2CHI; 2CIH; 2CLU; 2CN6; 2CN7; 2FHA; 2IU2; 2Z6M; 3AJO; 3AJP; 3AJQ; 3ERZ; 3ES3; 4DYX; 4DYY; 4DYZ; 4DZ0; 4OYN; 4Y08; 4YKH; 4ZJK; 5CMQ; 5CMR,,FTH1,HGNC:3976,Human,DB00893
P00325,Alcohol dehydrogenase 1B,ADH1B,178098,M24317,P00325,ADH1B_HUMAN,1DEH; 1HDX; 1HDY; 1HDZ; 1HSZ; 1HTB; 1U3U; 1U3V; 3HUD,,ADH1B,HGNC:250,Human,DB00157; DB01213; DB02481; DB02721; DB03461; DB03703; DB04077; DB04105
O95182,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,NDUFA7,4164452,AF050637,O95182,NDUA7_HUMAN,,,NDUFA7,HGNC:7691,Human,DB00157
P32238,Cholecystokinin receptor type A,CCKAR,306491,L13605,P32238,CCKAR_HUMAN,1D6G; 1HZN; 1PB2,,CCKAR,HGNC:1570,Human,DB00403; DB04856; DB04867
P38435,Vitamin K-dependent gamma-carboxylase,GGCX,184028,M81592,P38435,VKGC_HUMAN,,,GGCX,HGNC:4247,Human,DB00036; DB00055; DB00100; DB00142; DB00170; DB01022; DB01125
P11926,Ornithine decarboxylase,ODC1,29893806,M16650,P11926,DCOR_HUMAN,1D7K; 2ON3; 2OO0; 4ZGY,,ODC1,HGNC:8109,Human,DB00114; DB00127; DB01917; DB02209; DB02824; DB03856; DB04083; DB04263; DB06243
P08173,Muscarinic acetylcholine receptor M4,CHRM4,61970253,M16405,P08173,ACM4_HUMAN,,,CHRM4,HGNC:1953,Human,DB00246; DB00321; DB00334; DB00340; DB00342; DB00363; DB00376; DB00387; DB00408; DB00420; DB00424; DB00458; DB00496; DB00540; DB00572; DB00622; DB00715; DB00725; DB00747; DB00767; DB00777; DB00785; DB00809; DB00835; DB00934; DB01036; DB01069; DB01142; DB01151; DB01224; DB01238; DB01239; DB01403; DB01591; DB01625; DB05752; DB06702; DB08897; DB09076
P50416,"Carnitine O-palmitoyltransferase 1, liver isoform",CPT1A,755646,L39211,P50416,CPT1A_HUMAN,2LE3,,CPT1A,HGNC:2328,Human,DB00583; DB01016; DB01074
Q00266,S-adenosylmethionine synthase isoform type-1,MAT1A,220066,D49357,Q00266,METK1_HUMAN,2OBV,,MAT1A,HGNC:6903,Human,DB00118; DB03191; DB03611
P51659,Peroxisomal multifunctional enzyme type 2,HSD17B4,1050517,X87176,P51659,DHB4_HUMAN,1IKT; 1S9C; 1ZBQ,,HSD17B4,HGNC:5213,Human,DB00157; DB03192
P13196,"5-aminolevulinate synthase, nonspecific, mitochondrial",ALAS1,28583,X56351,P13196,HEM1_HUMAN,,,ALAS1,HGNC:396,Human,DB00114; DB00145
P17540,"Creatine kinase S-type, mitochondrial",CKMT2,338237,J05401,P17540,KCRS_HUMAN,4Z9M,,CKMT2,HGNC:1996,Human,DB00148
Q9GZZ6,Neuronal acetylcholine receptor subunit alpha-10,CHRNA10,12053839,AJ278118,Q9GZZ6,ACH10_HUMAN,,,CHRNA10,HGNC:13800,Human,DB00184; DB00202; DB00333; DB00674; DB00898; DB01090; DB01116; DB01161; DB05069; DB05137; DB05740
P19793,Retinoic acid receptor RXR-alpha,RXRA,35885,X52773,P19793,RXRA_HUMAN,1BY4; 1DSZ; 1FBY; 1FM6; 1FM9; 1G1U; 1G5Y; 1K74; 1LBD; 1MV9; 1MVC; 1MZN; 1R0N; 1RDT; 1RXR; 1XLS; 1XV9; 1XVP; 1YNW; 2ACL; 2NLL; 2P1T; 2P1U; 2P1V; 2ZXZ; 2ZY0; 3DZU; 3DZY; 3E00; 3E94; 3FAL; 3FC6; 3FUG; 3H0A; 3KWY; 3NSP; 3NSQ; 3OAP; 3OZJ; 3PCU; 3R29; 3R2A; 3R5M; 3UVV; 4CN2; 4CN3; 4CN5; 4CN7; 4J5W; 4J5X; 4K4J; 4K6I; 4M8E; 4M8H; 4N5G; 4N8R; 4NQA; 4OC7; 4POH; 4POJ; 4PP3; 4PP5; 4RFW; 4RMC; 4RMD; 4RME; 4ZO1,,RXRA,HGNC:10477,Human,DB00210; DB00307; DB00459; DB00523; DB00749; DB00926; DB07557; DB07863; DB08063; DB08402; DB08601
O75311,Glycine receptor subunit alpha-3,GLRA3,3342792,AF017724,O75311,GLRA3_HUMAN,5CFB,,GLRA3,HGNC:4328,Human,DB00145; DB00431; DB00466; DB00602
O15554,Intermediate conductance calcium-activated potassium channel protein 4,KCNN4,2584866,AF000972,O15554,KCNN4_HUMAN,,,KCNN4,HGNC:6293,Human,DB00228; DB00257; DB00468; DB01110; DB01159
Q14626,Interleukin-11 receptor subunit alpha,IL11RA,995654,Z38102,Q14626,I11RA_HUMAN,,,IL11RA,HGNC:5967,Human,DB00038
Q13224,"Glutamate receptor ionotropic, NMDA 2B",GRIN2B,1899202,U90278,Q13224,NMDE2_HUMAN,1S11; 1S2S; 2IPV,,GRIN2B,HGNC:4586,Human,DB00142; DB00454; DB00502; DB00949; DB01043; DB01520; DB06151; DB08954
P62158,Calmodulin,CALM1,179888,J04046,P62158,CALM_HUMAN,1AJI; 1CDL; 1CLL; 1CTR; 1IWQ; 1J7O; 1J7P; 1K90; 1K93; 1L7Z; 1LVC; 1NKF; 1PK0; 1S26; 1SK6; 1SW8; 1WRZ; 1XFU; 1XFV; 1XFW; 1XFX; 1XFY; 1XFZ; 1Y6W; 1YR5; 1YRT; 1YRU; 1ZOT; 1ZUZ; 2BE6; 2F3Y; 2F3Z; 2HF5; 2I08; 2JZI; 2K0E; 2K0F; 2K0J; 2K61; 2KNE; 2KUG; 2KUH; 2L53; 2L7L; 2LGF; 2LL6; 2LL7; 2LQC; 2LQP; 2LV6; 2M0J; 2M0K; 2M55; 2MG5; 2N6A; 2R28; 2V01; 2V02; 2VAY; 2W73; 2WEL; 2X0G; 2Y4V; 3BYA; 3DVE; 3DVJ; 3DVK; 3DVM; 3EWT; 3EWV; 3G43; 3HR4; 3J41; 3O77; 3O78; 3OXQ; 3SUI; 3UCT; 3UCW; 3UCY; 4BW7; 4BW8; 4BYF; 4DCK; 4DJC; 4GOW; 4JPZ; 4JQ0; 4L79; 4LZX; 4M1L; 4OVN; 4Q57; 4Q5U; 4UMO; 4UPU; 4V0C,,CALM1,HGNC:1442,Human,DB00477; DB00527; DB00622; DB00623; DB00753; DB00831; DB00836; DB00850; DB00925; DB01023; DB01065; DB01069; DB01100; DB01115; DB01244; DB01373; DB01429; DB02868; DB03900; DB03977; DB04513; DB04825; DB04841; DB08039; DB08231
P55017,Solute carrier family 12 member 3,SLC12A3,1172161,U44128,P55017,S12A3_HUMAN,,,SLC12A3,HGNC:10912,Human,DB00436; DB00524; DB00562; DB00880; DB00999; DB01119; DB01324; DB01325
P41143,Delta-type opioid receptor,OPRD1,27545517,U07882,P41143,OPRD_HUMAN,1OZC; 2IQM; 4N6H; 4RWA; 4RWD,,OPRD1,HGNC:8153,Human,DB00193; DB00295; DB00318; DB00321; DB00327; DB00333; DB00497; DB00514; DB00611; DB00647; DB00704; DB00708; DB00813; DB00836; DB00844; DB00854; DB00899; DB00921; DB00956; DB01081; DB01183; DB01192; DB01221; DB01439; DB01444; DB01452; DB01497; DB01535; DB01548; DB01565; DB01571; DB05050; DB06204; DB06274; DB06738; DB09272
Q02928,Cytochrome P450 4A11,CYP4A11,181397,L04751,Q02928,CP4AB_HUMAN,,,CYP4A11,HGNC:2642,Human,DB00157
P04083,Annexin A1,ANXA1,12654863,BC001275,P04083,ANXA1_HUMAN,1AIN; 1BO9; 1QLS,,ANXA1,HGNC:533,Human,DB00288; DB00741; DB01234
Q9UN76,Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+),SLC6A14,5732680,AF151978,Q9UN76,S6A14_HUMAN,,,SLC6A14,HGNC:11047,Human,DB00172
P04181,"Ornithine aminotransferase, mitochondrial",OAT,189329,M12267,P04181,OAT_HUMAN,1GBN; 1OAT; 2BYJ; 2BYL; 2CAN; 2OAT,,OAT,HGNC:8091,Human,DB00114; DB00129; DB02054; DB02821
P00338,L-lactate dehydrogenase A chain,LDHA,34313,X02152,P00338,LDHA_HUMAN,1I10; 4AJP; 4JNK; 4L4R; 4L4S; 4M49; 4OJN; 4OKN; 4QO7; 4QO8; 4QSM; 4QT0; 4R68; 4R69; 4RLS,,LDHA,HGNC:6535,Human,DB00157; DB02483; DB02701; DB03940
P22303,Acetylcholinesterase,ACHE,177975,M55040,P22303,ACES_HUMAN,1B41; 1F8U; 1PUV; 1PUW; 1VZJ; 2CLJ; 2X8B; 3LII; 4BDT; 4EY4; 4EY5; 4EY6; 4EY7; 4EY8; 4M0E; 4M0F; 4PQE,,ACHE,HGNC:108,Human,DB00122; DB00382; DB00449; DB00483; DB00545; DB00674; DB00677; DB00733; DB00805; DB00843; DB00944; DB00981; DB00989; DB01010; DB01122; DB01199; DB01245; DB01364; DB01400; DB01805; DB01928; DB02166; DB02226; DB02343; DB02404; DB02673; DB02825; DB02845; DB03005; DB03128; DB03283; DB03348; DB03359; DB03740; DB03814; DB04021; DB04114; DB04556; DB04614; DB04615; DB04616; DB04617; DB04859; DB04864; DB04892; DB05510; DB07555; DB07701; DB07756; DB07822; DB07846; DB08167; DB08357; DB08615; DB08996
O95178,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial",NDUFB2,4164454,AF050639,O95178,NDUB2_HUMAN,,,NDUFB2,HGNC:7697,Human,DB00157
P31749,RAC-alpha serine/threonine-protein kinase,AKT1,190828,M63167,P31749,AKT1_HUMAN,1H10; 1UNP; 1UNQ; 1UNR; 2UVM; 2UZR; 2UZS; 3CQU; 3CQW; 3MV5; 3MVH; 3O96; 3OCB; 3OW4; 3QKK; 3QKL; 3QKM; 4EJN; 4EKK; 4EKL; 4GV1,,AKT1,HGNC:391,Human,DB00171; DB01169; DB01863; DB07584; DB07585
Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C,CACNA1C,,M92270,Q13936,CAC1C_HUMAN,1T0J; 2BE6; 2F3Y; 2F3Z; 2LQC; 3G43; 3OXQ,,CACNA1C,HGNC:1390,Human,DB00270; DB00308; DB00381; DB00393; DB00401; DB00568; DB00622; DB00653; DB00661; DB00898; DB01023; DB01054; DB01115; DB01373; DB01388; DB04855; DB04920; DB06712; DB06751
P30988,Calcitonin receptor,CALCR,179880,L00587,P30988,CALCR_HUMAN,,,CALCR,HGNC:1440,Human,DB00017; DB01278
P23415,Glycine receptor subunit alpha-1,GLRA1,31851,X52009,P23415,GLRA1_HUMAN,1MOT; 1VRY; 2M6B; 2M6I; 4X5T,,GLRA1,HGNC:4326,Human,DB00145; DB00431; DB00753; DB00898; DB01028; DB01159; DB01189; DB01236; DB01381; DB03929; DB05417
P10398,Serine/threonine-protein kinase A-Raf,ARAF,1340152,X04790,P10398,ARAF_HUMAN,1WXM; 2MSE,,ARAF,HGNC:646,Human,DB00171
P42684,Abelson tyrosine-protein kinase 2,ABL2,178993,M35296,P42684,ABL2_HUMAN,2ECD; 2KK1; 2XYN; 3GVU; 3HMI; 3ULR; 4EIH,,ABL2,HGNC:77,Human,DB00171; DB01254; DB05184; DB07664
Q14432,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",PDE3A,38201493,M91667,Q14432,PDE3A_HUMAN,1LRC,,PDE3A,HGNC:8778,Human,DB00235; DB00261; DB00277; DB00922; DB01166; DB01223; DB01303; DB01427; DB04880; DB05266; DB08811
Q96Q40,Cyclin-dependent kinase 15,CDK15,15823642,AB053308,Q96Q40,CDK15_HUMAN,,,ALS2CR7,HGNC:14434,Human,DB00171
P17516,Aldo-keto reductase family 1 member C4,AKR1C4,4261710,S68287,P17516,AK1C4_HUMAN,2FVL,,AKR1C4,HGNC:387,Human,DB00157
P08514,Integrin alpha-IIb,ITGA2B,190068,J02764,P08514,ITA2B_HUMAN,1DPK; 1DPQ; 1JX5; 1KUP; 1KUZ; 1M8O; 1RN0; 1S4W; 1TYE; 1UV9; 2K1A; 2K9J; 2KNC; 2MTP; 2VC2; 2VDK; 2VDL; 2VDM; 2VDN; 2VDO; 2VDP; 2VDQ; 2VDR; 3FCS; 3FCU; 3NID; 3NIF; 3NIG; 3T3M; 3T3P; 3ZDX; 3ZDY; 3ZDZ; 3ZE0; 3ZE1; 3ZE2; 4CAK,,ITGA2B,HGNC:6138,Human,DB00054; DB00775; DB04863
O60669,Monocarboxylate transporter 2,SLC16A7,3047402,AF058056,O60669,MOT2_HUMAN,,,SLC16A7,HGNC:10928,Human,DB00119
O15269,Serine palmitoyltransferase 1,SPTLC1,2564247,Y08685,O15269,SPTC1_HUMAN,,,SPTLC1,HGNC:11277,Human,DB00114; DB00133
P35367,Histamine H1 receptor,HRH1,510296,Z34897,P35367,HRH1_HUMAN,3RZE,,HRH1,HGNC:5182,Human,DB00215; DB00245; DB00246; DB00283; DB00321; DB00334; DB00341; DB00342; DB00354; DB00363; DB00366; DB00370; DB00405; DB00408; DB00420; DB00427; DB00434; DB00455; DB00458; DB00477; DB00540; DB00543; DB00557; DB00568; DB00637; DB00656; DB00667; DB00719; DB00726; DB00734; DB00737; DB00748; DB00751; DB00767; DB00768; DB00777; DB00792; DB00797; DB00835; DB00902; DB00920; DB00934; DB00950; DB00967; DB00972; DB00985; DB01069; DB01071; DB01075; DB01084; DB01106; DB01114; DB01142; DB01146; DB01151; DB01173; DB01175; DB01176; DB01224; DB01237; DB01238; DB01239; DB01246; DB01267; DB01403; DB01615; DB01619; DB01620; DB01624; DB04837; DB04841; DB04890; DB04905; DB04946; DB05079; DB05080; DB05345; DB05492; DB06016; DB06148; DB06216; DB06282; DB06678; DB06691; DB06698; DB06766; DB08799; DB08800; DB08801; DB08802; DB08936; DB09016
O15528,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",CYP27B1,2612976,AF027152,O15528,CP27B_HUMAN,,,CYP27B1,HGNC:2606,Human,DB01436
P29466,Caspase-1,CASP1,33793,X65019,P29466,CASP1_HUMAN,1BMQ; 1IBC; 1ICE; 1RWK; 1RWM; 1RWN; 1RWO; 1RWP; 1RWV; 1RWW; 1RWX; 1SC1; 1SC3; 1SC4; 2FQQ; 2H48; 2H4W; 2H4Y; 2H51; 2H54; 2HBQ; 2HBR; 2HBY; 2HBZ; 3D6F; 3D6H; 3D6M; 3E4C; 3NS7,,CASP1,HGNC:1499,Human,DB01017; DB04875; DB05301; DB05408; DB05507; DB07733; DB07744; DB07916
Q96RQ3,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",MCCC1,12382296,AF310972,Q96RQ3,MCCA_HUMAN,2EJM,,MCCC1,HGNC:6936,Human,DB00121
P43353,Aldehyde dehydrogenase family 3 member B1,ALDH3B1,601780,U10868,P43353,AL3B1_HUMAN,,,ALDH3B1,HGNC:410,Human,DB00157
Q13183,Solute carrier family 13 member 2,SLC13A2,1098557,U26209,Q13183,S13A2_HUMAN,,,SLC13A2,HGNC:10917,Human,DB00139
Q96A70,Antizyme inhibitor 2,AZIN2,15858863,AY050634,Q96A70,AZIN2_HUMAN,,,ADC,HGNC:29957,Human,DB00114; DB00125
O15427,Monocarboxylate transporter 4,SLC16A3,2463634,U81800,O15427,MOT4_HUMAN,,,SLC16A3,HGNC:10924,Human,DB00119
Q9UIC8,Leucine carboxyl methyltransferase 1,LCMT1,6580758,AF037601,Q9UIC8,LCMT1_HUMAN,3IEI; 3O7W; 3P71,,LCMT1,HGNC:17557,Human,DB00149
P28223,5-hydroxytryptamine receptor 2A,HTR2A,36431,S42168,P28223,5HT2A_HUMAN,,,HTR2A,HGNC:5293,Human,DB00246; DB00247; DB00248; DB00268; DB00321; DB00334; DB00363; DB00370; DB00408; DB00409; DB00413; DB00420; DB00434; DB00458; DB00477; DB00502; DB00540; DB00543; DB00589; DB00604; DB00656; DB00679; DB00696; DB00714; DB00715; DB00726; DB00734; DB00751; DB00777; DB00805; DB00843; DB00875; DB00924; DB00933; DB00934; DB01069; DB01079; DB01142; DB01149; DB01151; DB01186; DB01200; DB01224; DB01238; DB01239; DB01242; DB01267; DB01392; DB01403; DB01442; DB01454; DB01488; DB01614; DB01618; DB01621; DB01622; DB01623; DB01624; DB04599; DB04842; DB04908; DB04946; DB05026; DB05079; DB05227; DB05316; DB05492; DB05687; DB05743; DB06016; DB06077; DB06144; DB06148; DB06216; DB06288; DB08810; DB08815; DB08927; DB09016; DB09128
P30872,Somatostatin receptor type 1,SSTR1,307434,M81829,P30872,SSR1_HUMAN,,,SSTR1,HGNC:11330,Human,DB00104; DB06663
P10721,Mast/stem cell growth factor receptor Kit,KIT,34085,X06182,P10721,KIT_HUMAN,1PKG; 1QZJ; 1QZK; 1R01; 1T45; 1T46; 2E9W; 2EC8; 2VIF; 3G0E; 3G0F; 4HVS; 4K94; 4K9E; 4PGZ; 4U0I,,KIT,HGNC:6342,Human,DB00398; DB00619; DB01254; DB01268; DB01962; DB04868; DB05146; DB05153; DB05216; DB05913; DB06080; DB06589; DB08896; DB08901; DB09078
Q14957,"Glutamate receptor ionotropic, NMDA 2C",GRIN2C,1196449,L76224,Q14957,NMDE3_HUMAN,,,GRIN2C,HGNC:4587,Human,DB00142; DB00145; DB00454; DB01520
P32754,4-hydroxyphenylpyruvate dioxygenase,HPD,3860238,U29895,P32754,HPPD_HUMAN,3ISQ; 5EC3,,HPD,HGNC:5147,Human,DB00348; DB02850
Q96EY8,"Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial",MMAB,26284726,AF550404,Q96EY8,MMAB_HUMAN,2IDX,,MMAB,HGNC:19331,Human,DB00200
P22413,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1,ENPP1,189650,M57736,P22413,ENPP1_HUMAN,2YS0,,ENPP1,HGNC:3356,Human,DB00811; DB01143
P37023,Serine/threonine-protein kinase receptor R3,ACVRL1,402197,Z22533,P37023,ACVL1_HUMAN,2LCR; 3MY0; 4FAO,,ACVRL1,HGNC:175,Human,DB00171
P30939,5-hydroxytryptamine receptor 1F,HTR1F,307420,L05597,P30939,5HT1F_HUMAN,,,HTR1F,HGNC:5292,Human,DB00216; DB00247; DB00315; DB00669; DB00696; DB00952; DB00953; DB06148
Q9H252,Potassium voltage-gated channel subfamily H member 6,KCNH6,11878259,AF311913,Q9H252,KCNH6_HUMAN,,,KCNH6,HGNC:18862,Human,DB00308; DB00457; DB00590; DB01110; DB01162
Q99460,26S proteasome non-ATPase regulatory subunit 1,PSMD1,1808578,D44466,Q99460,PSMD1_HUMAN,,,PSMD1,HGNC:9554,Human,DB00188
O95665,Neurotensin receptor type 2,NTSR2,3901028,Y10148,O95665,NTR2_HUMAN,,,NTSR2,HGNC:8040,Human,DB01106
P00326,Alcohol dehydrogenase 1C,ADH1C,28404,X04299,P00326,ADH1G_HUMAN,1DDA; 1HT0; 1U3W,,ADH1C,HGNC:251,Human,DB00157; DB01213; DB01711; DB02131; DB02249; DB02659; DB02721; DB02757; DB02822; DB02871; DB03020; DB03061; DB03226; DB03559; DB04071; DB04113; DB04312; DB04448
P38484,Interferon gamma receptor 2,IFNGR2,463550,U05875,P38484,INGR2_HUMAN,,,IFNGR2,HGNC:5440,Human,DB00033
O60706,ATP-binding cassette sub-family C member 9,ABCC9,3127176,AF061323,O60706,ABCC9_HUMAN,,,ABCC9,HGNC:60,Human,DB00171; DB01016
Q13200,26S proteasome non-ATPase regulatory subunit 2,PSMD2,1060888,D78151,Q13200,PSMD2_HUMAN,,,PSMD2,HGNC:9559,Human,DB00188
P31644,Gamma-aminobutyric acid receptor subunit alpha-5,GABRA5,182916,L08485,P31644,GBRA5_HUMAN,,,GABRA5,HGNC:4079,Human,DB00231; DB00241; DB00306; DB00312; DB00371; DB00402; DB00418; DB00463; DB00546; DB00599; DB00683; DB00690; DB00794; DB00801; DB00829; DB00842; DB00849; DB00897; DB00898; DB01198; DB01205; DB01215; DB01351; DB01352; DB01353; DB01354; DB01355; DB01483; DB01496; DB01544; DB01558; DB01559; DB01567; DB01588; DB01589; DB01594; DB01595; DB05087
Q96P88,Putative gonadotropin-releasing hormone II receptor,GNRHR2,16589056,AF403014,Q96P88,GNRR2_HUMAN,,,GNRHR2,HGNC:16341,Human,DB00644; DB00666; DB01406
Q16718,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,NDUFA5,1373173,U53468,Q16718,NDUA5_HUMAN,,,NDUFA5,HGNC:7688,Human,DB00157
P43119,Prostacyclin receptor,PTGIR,495043,L29016,P43119,PI2R_HUMAN,,,PTGIR,HGNC:9602,Human,DB00374; DB01088; DB01160; DB01240; DB05229; DB11362
P28566,5-hydroxytryptamine receptor 1E,HTR1E,177774,M91467,P28566,5HT1E_HUMAN,,,HTR1E,HGNC:5291,Human,DB00216; DB00246; DB00247; DB00334; DB00363; DB00408; DB01224; DB01238
Q16739,Ceramide glucosyltransferase,UGCG,1325917,D50840,Q16739,CEGT_HUMAN,,,UGCG,HGNC:12524,Human,DB00419; DB05715; DB09039
P48169,Gamma-aminobutyric acid receptor subunit alpha-4,GABRA4,905393,U30461,P48169,GBRA4_HUMAN,,,GABRA4,HGNC:4078,Human,DB00231; DB00241; DB00306; DB00312; DB00371; DB00418; DB00463; DB00599; DB00683; DB00690; DB00794; DB00842; DB00849; DB00897; DB00898; DB01351; DB01352; DB01353; DB01354; DB01355; DB01483; DB01496; DB01544; DB01558; DB01595; DB05087
P30837,"Aldehyde dehydrogenase X, mitochondrial",ALDH1B1,1263008,M63967,P30837,AL1B1_HUMAN,,,ALDH1B1,HGNC:407,Human,DB00157
P43007,Neutral amino acid transporter A,SLC1A4,348012,L14595,P43007,SATT_HUMAN,,,SLC1A4,HGNC:10942,Human,DB00160
Q03154,Aminoacylase-1,ACY1,178071,L07548,Q03154,ACY1_HUMAN,1Q7L,,ACY1,HGNC:177,Human,DB00128; DB06151
Q8IYQ7,Threonine synthase-like 1,THNSL1,23243453,BC035132,Q8IYQ7,THNS1_HUMAN,,,THNSL1,HGNC:26160,Human,DB00114; DB00156
O43497,Voltage-dependent T-type calcium channel subunit alpha-1G,CACNA1G,6625659,AF134986,O43497,CAC1G_HUMAN,,,CACNA1G,HGNC:1394,Human,DB00347; DB00568; DB00593; DB00661; DB00909; DB01388; DB04841; DB05246
P30049,"ATP synthase subunit delta, mitochondrial",ATP5D,12586,X63422,P30049,ATPD_HUMAN,,,ATP5D,HGNC:837,Human,DB00228; DB00753; DB01028; DB01159; DB01189; DB01236
P49821,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",NDUFV1,3184148,Y17379,P49821,NDUV1_HUMAN,,,NDUFV1,HGNC:7716,Human,DB00157
P23975,Sodium-dependent noradrenaline transporter,SLC6A2,189258,M65105,P23975,SC6A2_HUMAN,,,SLC6A2,HGNC:11048,Human,DB00182; DB00191; DB00193; DB00226; DB00234; DB00285; DB00289; DB00321; DB00344; DB00370; DB00408; DB00422; DB00454; DB00458; DB00476; DB00514; DB00540; DB00543; DB00579; DB00696; DB00715; DB00726; DB00830; DB00852; DB00907; DB00934; DB00937; DB00988; DB01105; DB01114; DB01142; DB01149; DB01151; DB01156; DB01170; DB01173; DB01175; DB01221; DB01242; DB01363; DB01364; DB01381; DB01442; DB01454; DB01576; DB01577; DB01579; DB04821; DB04836; DB04840; DB04889; DB04896; DB05012; DB05688; DB06148; DB06204; DB06700; DB06701; DB06707; DB08918
Q07343,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",PDE4B,347122,L20966,Q07343,PDE4B_HUMAN,1F0J; 1JP1; 1JP2; 1RO6; 1RO9; 1ROR; 1TB5; 1XLX; 1XLZ; 1XM4; 1XM6; 1XMU; 1XMY; 1XN0; 1XOS; 1XOT; 1Y2H; 1Y2J; 2CHM; 2QYL; 3D3P; 3FRG; 3G45; 3GWT; 3HC8; 3HDZ; 3HMV; 3KKT; 3LY2; 3O0J; 3O56; 3O57; 3W5E; 3WD9; 4KP6; 4MYQ; 4NW7; 4WZI; 4X0F,,PDE4B,HGNC:8781,Human,DB00131; DB00201; DB00277; DB00651; DB00806; DB00824; DB00920; DB01088; DB01113; DB01412; DB01427; DB01647; DB01656; DB01791; DB01954; DB01959; DB02660; DB03349; DB03606; DB03807; DB03849; DB04149; DB04530; DB05219; DB05266; DB05676; DB06909; DB08299
P15382,Potassium voltage-gated channel subfamily E member 1,KCNE1,386838,M26685,P15382,KCNE1_HUMAN,2K21,,KCNE1,HGNC:6240,Human,DB00808; DB04957
P16473,Thyrotropin receptor,TSHR,903760,M73747,P16473,TSHR_HUMAN,1XUM; 2XWT; 3G04,,TSHR,HGNC:12373,Human,DB00024
